Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
3/1/25,USAID,Purchase for REXO Retreat for FY2024,"$51,057 ",Purchase Order,Final,72062424P00026,0,,9/25/24,7200,720624,USAID/WEST AFRICA REGIONAL,KSE1ME58AQ17,FRANKLIN COVEY CLIENT SALES INC,UTAH 02,841192099,"Corporate Entity, Not Tax Exempt",,,E1AB,PURCHASE OF CONFERENCE SPACE AND FACILITIES,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72062424P00026&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Closeout Audit (KEMSA MCP) Activity.,"$51,031 ",Definitive Contract,Final,72061524C00002,P00002,OTHER ADMINISTRATIVE ACTION,12/4/24,7200,720615,AMER EMBASSY NAIROBI - USAID/KENYA,RMJFQJ4LD7P5,PRICEWATERHOUSECOOPERS LIMITE,,,Partnership or Limited Liability Partnership,,,R704,SUPPORT- MANAGEMENT: AUDITING,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061524C00002&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"To hire Nour Emam as a Technical Advisor (Lawyer) as detailed in
(Limit 250 characters)the Order Requirements Form. The total amount is $50,401.94.","$50,401 ",BPA Call,Final,72027825F50004,0,,11/26/24,7200,720278,USAID/JORDAN,EF1MPLQXCGP5,PM CONSULTING GROUP LLC,MARYLAND 02,212042370,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72027825F50004&modNumber=0&idvAgencyID=&idvPIID=72028021A00002&contractType=AWARD
3/1/25,USAID,"Production of 16 videos (4-5 minutes) under the supervision of
(Limit 250 characters)
USAID's Development Outreach and Communications Team (DOC),
including development of scripts/concepts for the 16 videos in
ll b ti ith OC d ti f th id ill","$50,100 ",Purchase Order,Final,72066924P00035,0,,9/17/24,7200,720669,USAID/LIBERIA,CR4FABVYD411,USH PRODUCTION INC.,,,International Organization,,,R708,SUPPORT- MANAGEMENT: PUBLIC RELATIONS,512110,MOTION PICTURE AND VIDEO PRODUCTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066924P00035&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"USAID participation in Regeneron International Science and
Engineering Fair (ISEF) 2025 as a Special Award Organization.","$50,098 ",Purchase Order,Final,7200AA24P00025,0,,8/8/24,7200,7200AA,USAID M/OAA,R2EFLK6BAY85,SOCIETY FOR SCIENCE AND THE PUB,DISTRICT OF COLUMBIA 98,200362801,"Corporate Entity, Tax Exempt",Non Profit Organization,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=7200AA24P00025&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"RENOVATIONS OF THE 13 EXISTING OBSERVATION POSTS INSIDE THE
(Limit 250 characters)RESIDENTIAL COMPOUND","$50,000 ",Purchase Order,Final,72066824P00091,0,,9/16/24,7200,720668,USAID/SOUTH SUDAN,GV8RC5AVU217,DPL DANPHIL GENERAL CONTRACTOR,,,Partnership or Limited Liability Partnership,"Minority-Owned Business
Individual or concern, other than one of the preceding",,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,811490,OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066824P00091&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Pillar 3, Part 2: Videography and Film Production","$49,667 ",BPA Call,Final,72038824F50001,P00001,OTHER ADMINISTRATIVE ACTION,6/11/24,7200,720388,USAID/BANGLADESH,YZD5A5BHYZA8,CARROTCOMM LTD.,,1212,Partnership or Limited Liability Partnership,,,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMEN,561990,ALL OTHER SUPPORT SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72038824F50001&modNumber=P00001&idvAgencyID=&idvPIID=72038823A00002&contractType=AWARD
3/1/25,USAID,USAID/SA Compound Specialized High Rise Windows Cleaning Services.,"$49,219 ",Purchase Order,Final,72067423P00195,P00002,OTHER ADMINISTRATIVE ACTION,7/9/24,7200,720674,USAID/SOUTH AFRICA,SPQJVRNH8C73,WACO ROPE ACCESS (PTY) LTD,,1601,"Corporate Entity, Not Tax Exempt",,,7930,CLEANING AND POLISHING COMPOUNDS AND PREPA,811310,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQ,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72067423P00195&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"The recommended instrument for this assessment is a Task Order that
(Limit 250 characters) will be procured under the Central Asia Regional Platform for
Monitoring, Evaluation and Learning (RP-MEL) Indefinite
li / d fi it Q tit ( Q) t t h k O d f","$49,000 ",Delivery/Task Order,Final,72011924F00003,P00001,OTHER ADMINISTRATIVE ACTION,10/10/24,7200,720119,USAID/TAJIKISTAN,LCG6MAYC2NF9,SOCHA LLC,NEBRASKA 01,686013316,Partnership or Limited Liability Partnership,Veteran-Owned Business,Self-Certified Small Disadvantaged Business,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72011924F00003&modNumber=P00001&idvAgencyID=&idvPIID=72011523D00001&contractType=AWARD
3/1/25,USAID,"*** Incremental funding for 72048620P00095 FY23 ***
(Limit 250 characters)
Current: 136
Purchase of Maintenance Service for Liebert RDU-A G2 and CRAC","$48,237 ",Purchase Order,Final,72048620P00095,P00006,FUNDING ONLY ACTION,9/28/23,7200,720486,USAID/RDMA/THAILAND,LN9PU5M2YZN5,MISCELLANEOUS FOREIGN AWARDEE,DISTRICT OF COLUMBIA 98,204050001,,,,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTE,517911,TELECOMMUNICATIONS RESELLERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72048620P00095&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Internet services and dedicated leased line channels and circuitry
(Limit 250 characters) for USAID/Haiti for twelve (12) months.","$48,000 ",Purchase Order,Final,72052125P00002,0,,12/5/24,7200,720521,USAID/HAITI,NLRVCG94EMK9,NATIONAL TELECOM S.A.,,,International Organization,,DoT Certified Disadvantaged Business Enterprise,R499,SUPPORT- PROFESSIONAL: OTHER,561990,ALL OTHER SUPPORT SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72052125P00002&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Purchase of IT Equipment - USAID/Zimbabwe,"$47,993 ",Purchase Order,Final,72061324P00027,0,,8/9/24,7200,720613,USAID/ZIMBABWE,CN4KSKX2UQY5,"COUNTERTRADE PRODUCTS, INC.",COLORADO 07,800033969,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",SBA-Certified Women-Owned Small Business,7K20,IT AND TELECOM - STORAGE PRODUCTS (HARDWAR,423430,COMPUTER AND COMPUTER PERIPHERAL EQUIPME,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061324P00027&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"This is an annual Firm Fixed Price Purchase Order with AMIDEAST to
test applicants for Test of English for International Communication
(TOEIC) as a hiring requirement for USAID Jordan, SRP and Yemen.","$47,669 ",Purchase Order,Final,72027824P00030,0,,3/12/24,7200,720278,USAID/JORDAN,MCEHLGRJYMT1,AMERICA-MIDEAST EDUCATIONAL AND,DISTRICT OF COLUMBIA 98,200363363,"Corporate Entity, Tax Exempt",Non Profit Organization,,U002,EDUCATION/TRAINING- PERSONNEL TESTING,611630,LANGUAGE SCHOOLS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72027824P00030&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Vehicle for USAID/EXO/C&R,"$47,521 ",Purchase Order,Final,72049224P00072,P00001,FUNDING ONLY ACTION,7/11/24,7200,720492,USAID/PHILIPPINES,LECLA1WDLN75,"TOYOTA OTIS, INC.",,1007,"Corporate Entity, Not Tax Exempt",,DoT Certified Disadvantaged Business Enterprise,2310,PASSENGER MOTOR VEHICLES,336110,AUTOMOBILE AND LIGHT DUTY MOTOR VEHICLE MA,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72049224P00072&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,New MiFi Devices data bundles contract,"$46,956 ",Purchase Order,Final,72061324P00036,0,,9/20/24,7200,720613,USAID/ZIMBABWE,E34RA3E3QZ81,ECONET WIRELESS PVT LTD,,,International Organization,,,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMEN,517111,WIRED TELECOMMUNICATIONS CARRIERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061324P00036&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Extend the services of the BPA Call Order 72051924F50013 from
January 31, 2025, to March 31, 2025.","$46,941 ",BPA Call,Final,720072051924F50013,P00001,OTHER ADMINISTRATIVE ACTION,12/19/24,7200,720519,USAID/EL SALVADOR,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,,,,R499,SUPPORT- PROFESSIONAL: OTHER,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72051924F50013&modNumber=P00001&idvAgencyID=&idvPIID=72051924A00011&contractType=AWARD
3/1/25,USAID,Procure auto parts and supplies for Vehicles maintenance.,"$46,891 ",Purchase Order,Final,72066824P00084,0,,9/3/24,7200,720668,USAID/SOUTH SUDAN,U2ACJD4L2DZ9,OKI GENERAL TRADING FZCO,,,Partnership or Limited Liability Partnership,,,2590,MISCELLANEOUS VEHICULAR COMPONENTS,423120,MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCH,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066824P00084&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"The purpose of this Delivery Order is to purchase Starlink
(Limit 250 characters)
high performance kits and subscriptions per quote B-501665 in
Current: 236
the amount of $33,902.40. South Africa and Zimbabwe contribute
$10 170 72 h d /C O t ib t $13 560 96","$46,788 ",Delivery/Task Order,Final,7200 72MC1023N00013,P00001,FUNDING ONLY ACTION,10/31/24,7200,72MC10,USAID M/CIO,CN4KSKX2UQY5,"COUNTERTRADE PRODUCTS, INC.",COLORADO 07,800033969,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,7G21,IT AND TELECOM - NETWORK: DIGITAL NETWORK PR,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72MC1023N00013&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC65B&contractType=AWARD
3/1/25,USAID,Waterproofing the Ubunye building balconies.,"$46,390 ",Purchase Order,Final,72067424P00115,0,,9/10/24,7200,720674,USAID/SOUTH AFRICA,NN2NGPDNCK23,FOREIGN AWARDEES (UNDISCLOSED),98,204050001,,,,Z1AA,MAINTENANCE OF OFFICE BUILDINGS,238390,OTHER BUILDING FINISHING CONTRACTORS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72067424P00115&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,Dedicated Internet Access 30Mbps for Lesotho,"$46,254 ",Purchase Order,Final,72067423P00155,P00001,OTHER ADMINISTRATIVE ACTION,7/12/24,7200,720674,USAID/SOUTH AFRICA,NHPBXY9MS154,VODACOM LESOTHO (PTY) LTD,,100,For Profit Organization,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,517112,WIRELESS TELECOMMUNICATIONS CARRIERS (EXCE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72067423P00155&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Facilities Maintenance Handymen Svcs-2 April 08/2024 thru April 07,
(Limit 250 characters) 2025 according to attached SOW","$46,200 ",Purchase Order,Final,72052024P00004,0,,3/28/24,7200,720520,USAID/GUATEMALA,S8HHE7DFPW59,"JOLIVA COMPANY, SOCIEDA ANONIMA",,,International Organization,,,R497,SUPPORT- PROFESSIONAL: PERSONAL SERVICES C,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72052024P00004&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Renewal of renting TDY Suite/apartment at Notre-Dame hotel in
(Limit 250 characters)
Jerusalem for the use of mission employees. A rental fee of $3167
per month. Total of the rent per year is $ 38000. Additional 40
i ht @ i f $200 i ht t t l f $8000 t","$46,000 ",Purchase Order,Final,72029425P00014,0,,1/17/25,7200,720294,USAID/WEST BANK GAZA,LN9PU5M2YZN5,MISCELLANEOUS FOREIGN AWARDEE,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,V231,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LO,721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72029425P00014&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"15 iPhones mod 16 Pro (6.3"") 256GB w/ Screen Protector and Case Kit
(Limit 250 characters)
(pSIM ONLY)
Current: 179
15 iPhones mod 16 Pro Max (6.9"") 256GB w/ Screen Protector and Case
it ( S O )","$45,742 ",Delivery/Task Order,Final,72052324F00002,P00001,OTHER ADMINISTRATIVE ACTION,12/4/24,7200,720523,USAID/MEXICO,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72052324F00002&modNumber=P00001&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
3/1/25,USAID,"Audit of the schedule of expenditures of the USAID award managed by
(Limit 250 characters)
Frankfurt Zoological Society of Zambia (FZS Zambia) under Luangwa
Current: 240
Livelihood and Conservation Activity 72061122CA00001 for the period
f 5 2022 t 31 2024","$45,215 ",Purchase Order,Final,72061125P00001,0,,11/13/24,7200,720611,USAID/ZAMBIA,KZNYECD6CJM4,BDO ZAMBIA AUDIT SERVICES,,,Partnership or Limited Liability Partnership,,,R704,SUPPORT- MANAGEMENT: AUDITING,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061125P00001&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,FSN Alumni - Provision of financial management support,"$45,177 ",BPA Call,Final,72061524F50004,0,,7/5/24,7200,720615,AMER EMBASSY NAIROBI - USAID/KENYA,LN9PU5M2YZN5,MISCELLANEOUS FOREIGN AWARDEE,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,R406,SUPPORT- PROFESSIONAL: POLICY REVIEW/DEVELO,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72061524F50004&modNumber=0&idvAgencyID=&idvPIID=72061524A00003&contractType=AWARD
3/1/25,USAID,"The purpose of this BPA Call order is to conduct an Agency
(Limit 250 characters)
Contracted Audit of the JHPIEGO Voluntary Medical Male Circumcision
Current: 143
(VMMC) activity.","$45,000 ",BPA Call,Final,72065624F50001,P00001,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,7/6/24,7200,720656,USAID/MOZAMBIQUE,LN9PU5M2YZN5,MISCELLANEOUS FOREIGN AWARDEE,98,204050001,For Profit Organization,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72065624F50001&modNumber=P00001&idvAgencyID=&idvPIID=72065619A00002&contractType=AWARD
3/1/25,USAID,Purchase of IT Hardware (M/CIO) for Ghana and West Africa.,"$44,570 ",Purchase Order,Final,72062423P00037,0,,9/12/23,7200,720624,USAID/WEST AFRICA REGIONAL,CN4KSKX2UQY5,COUNTERTRADE PRODUCTS INC,COLORADO 07,800033969,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,7F20,IT AND TELECOM - IT MANAGEMENT TOOLS/PRODUC,423430,COMPUTER AND COMPUTER PERIPHERAL EQUIPME,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72062423P00037&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,AIS Leased Line Internet for RDMA & ARTC - R23-202,"$44,154 ",Purchase Order,Final,72048620P00069,P00006,FUNDING ONLY ACTION,8/2/24,7200,720486,USAID/RDMA/THAILAND,DV4MDGN6HH93,ADVANCED WIRELESS NETWORK COM,,10400,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation",,,D322,IT AND TELECOM- INTERNET,517911,TELECOMMUNICATIONS RESELLERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72048620P00069&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,BPA Call for the Purchase of IT Equipment for USAID/ESC.,"$44,035 ",BPA Call,Final,72053824F50002,0,,9/10/24,7200,720538,USAID/BARBADOS,CN4KSKX2UQY5,"COUNTERTRADE PRODUCTS, INC.",COLORADO 07,800033969,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,7B21,IT AND TELECOM - COMPUTE: MAINFRAME (HARDWA,334111,ELECTRONIC COMPUTER MANUFACTURING,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72053824F50002&modNumber=0&idvAgencyID=&idvPIID=72MC1019A00001&contractType=AWARD
3/1/25,USAID,"BPA call for Supplemental Language Program for eligible candidates
with the Arabic Language tutor Al Baher .","$44,000 ",BPA Call,Final,720072027825F50007,0,,12/4/24,7200,720278,USAID/JORDAN,GGPJSVEBBRL6,MUTAZ AL MASRI & PARTNER,,,Partnership or Limited Liability Partnership,,,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEV,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72027825F50007&modNumber=0&idvAgencyID=&idvPIID=72027825A00001&contractType=AWARD
3/1/25,USAID,"The purpose of the GID learning series 2024 - 2025 is to help USAID
implementing partners to improve programming to the most
marginalized groups in Nepal and increase local participation","$43,425 ",Purchase Order,Final,72036724P00029,0,,9/24/24,7200,720367,USAID/NEPAL,CZAJJA76QCB4,GOVERNANCE LAB PVT. LTD.,,,"Corporate Entity, Not Tax Exempt",,,R499,SUPPORT- PROFESSIONAL: OTHER,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72036724P00029&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"To increase TEC by $2,180 and change the specification on line item","$43,413 ",Purchase Order,Final,72066824P00061,P00001,FUNDING ONLY ACTION,9/13/24,7200,720668,USAID/SOUTH SUDAN,U2ACJD4L2DZ9,OKI GENERAL TRADING FZCO,,,Partnership or Limited Liability Partnership,,,2590,MISCELLANEOUS VEHICULAR COMPONENTS,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTUR,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72066824P00061&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"This is a no cost action for the creation of a $0 REQ for the
purchase of Chromebooks per email from Andrea Miskin dated April
26, 2024. Total Estimated Cost is approx $50k and CO will be going
th h S S f th t","$43,400 ",Delivery/Task Order,Final,72MC1024N00009,0,,5/20/24,7200,72MC10,USAID M/CIO,LG7SDLNKUQ27,TRANSOURCE SERVICES CORP.,ARIZONA 08,850274100,"Corporate Entity, Not Tax Exempt","Asian-Pacific American Owned, Women-Owned Business, Women-Owned Small Business",,7E21,IT AND TELECOM - MOBILE DEVICE PRODUCTS (HAR,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72MC1024N00009&modNumber=0&idvAgencyID=&idvPIID=NNG15SD93B&contractType=AWARD
3/1/25,USAID,"Service Support for trilateral laboratory Nov 11-15, 2024 -","$43,242 ",BPA Call,Final,72048625F50001,0,,10/22/24,7200,720486,USAID/RDMA/THAILAND,GL74VHNWFA59,"AHA ASIA CO., LTD.",,,"Corporate Entity, Not Tax Exempt",,,R799,SUPPORT- MANAGEMENT: OTHER,561599,ALL OTHER TRAVEL ARRANGEMENT AND RESERVAT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72048625F50001&modNumber=0&idvAgencyID=&idvPIID=72048624A00002&contractType=AWARD
3/1/25,USAID,PO Modification for FY2024 (Landline phone charge),"$43,138 ",Purchase Order,Final,72048620P00068,P00006,FUNDING ONLY ACTION,8/5/24,7200,720486,USAID/RDMA/THAILAND,LN9PU5M2YZN5,MISCELLANEOUS FOREIGN AWARDEE,DISTRICT OF COLUMBIA 98,204050001,OTHER,,,D316,IT AND TELECOM- TELECOMMUNICATIONS NETWOR,517919,ALL OTHER TELECOMMUNICATIONS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72048620P00068&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD
3/1/25,USAID,"Purchase iPhone 15 PRO MAX, cases, Screen protectors, charger
adapter","$43,047 ",Delivery/Task Order,Final,72065624F00003,0,,9/19/24,7200,720656,USAID/MOZAMBIQUE,ZG8PLF5N4NL1,"INTELLECTECHS, INC.",VIRGINIA 02,234524353,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAK",541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7200&PIID=72065624F00003&modNumber=0&idvAgencyID=&idvPIID=72MC1023D00002&contractType=AWARD
